연도,날짜,시간,경기,게임센터,하이라이트,TV,라디오,구장,비고
2018,03.24(토),<b>14:00</b>,"<span>LG</span><em><span class=""lose"">2</span><span>vs</span><span class=""win"">4</span></em><span>NC</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180324&gameId=20180324LGNC0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180324&gameId=20180324LGNC0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,KN-T<br />SPO-T,KNN-R<br />GM-R,마산,-
2018,,<b>14:00</b>,"<span>삼성</span><em><span class=""win"">6</span><span>vs</span><span class=""lose"">3</span></em><span>두산</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180324&gameId=20180324SSOB0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180324&gameId=20180324SSOB0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,S-T,T-R<br />DM-R,잠실,-
2018,,<b>14:00</b>,"<span>롯데</span><em><span class=""lose"">5</span><span>vs</span><span class=""win"">6</span></em><span>SK</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180324&gameId=20180324LTSK0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180324&gameId=20180324LTSK0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,M-T,KNN-R<br />PM-R,문학,-
2018,,<b>14:00</b>,"<span>KT</span><em><span class=""win"">5</span><span>vs</span><span class=""lose"">4</span></em><span>KIA</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180324&gameId=20180324KTHT0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180324&gameId=20180324KTHT0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,K-2T,KBC-R,광주,-
2018,,<b>14:00</b>,"<span>한화</span><em><span class=""lose"">3</span><span>vs</span><span class=""win"">6</span></em><span>넥센</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180324&gameId=20180324HHWO0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180324&gameId=20180324HHWO0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,MS-T<br />SPO-2T,S-R,고척,-
2018,03.25(일),<b>14:00</b>,"<span>LG</span><em><span class=""lose"">1</span><span>vs</span><span class=""win"">7</span></em><span>NC</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180325&gameId=20180325LGNC0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180325&gameId=20180325LGNC0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,KN-T,KNN-R<br />GM-R,마산,-
2018,,<b>14:00</b>,"<span>삼성</span><em><span class=""lose"">4</span><span>vs</span><span class=""win"">5</span></em><span>두산</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180325&gameId=20180325SSOB0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180325&gameId=20180325SSOB0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SS-T,T-R<br />DM-R,잠실,-
2018,,<b>14:00</b>,"<span>롯데</span><em><span class=""lose"">0</span><span>vs</span><span class=""win"">5</span></em><span>SK</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180325&gameId=20180325LTSK0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180325&gameId=20180325LTSK0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,MS-T,KNN-R<br />PM-R,문학,-
2018,,<b>14:00</b>,"<span>KT</span><em><span class=""lose"">1</span><span>vs</span><span class=""win"">14</span></em><span>KIA</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180325&gameId=20180325KTHT0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180325&gameId=20180325KTHT0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SPO-2T,KBC-R,광주,-
2018,,<b>14:00</b>,"<span>한화</span><em><span class=""win"">4</span><span>vs</span><span class=""lose"">1</span></em><span>넥센</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180325&gameId=20180325HHWO0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180325&gameId=20180325HHWO0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SPO-T,,고척,-
2018,03.27(화),<b>18:30</b>,"<span>한화</span><em><span class=""lose"">6</span><span>vs</span><span class=""win"">9</span></em><span>NC</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180327&gameId=20180327HHNC0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180327&gameId=20180327HHNC0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,MS-T,KNN-R<br />GM-R,마산,-
2018,,<b>18:30</b>,"<span>롯데</span><em><span class=""lose"">0</span><span>vs</span><span class=""win"">5</span></em><span>두산</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180327&gameId=20180327LTOB0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180327&gameId=20180327LTOB0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SPO-2T,KNN-R<br />PM-R,잠실,-
2018,,<b>18:30</b>,"<span>KT</span><em><span class=""lose"">5</span><span>vs</span><span class=""win"">8</span></em><span>SK</span>",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180327&gameId=20180327KTSK0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180327&gameId=20180327KTSK0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SS-T,,문학,-
