G_ID,INNING_CNT,SCORE,AWAY_HOME
20180324HHWO0,1,1,1
20180324HHWO0,2,1,1
20180324HHWO0,3,0,1
20180324HHWO0,4,0,1
20180324HHWO0,5,0,1
20180324HHWO0,6,0,1
20180324HHWO0,7,1,1
20180324HHWO0,8,0,1
20180324HHWO0,9,0,1
20180324HHWO0,1,0,2
20180324HHWO0,2,0,2
20180324HHWO0,3,1,2
20180324HHWO0,4,3,2
20180324HHWO0,5,2,2
20180324HHWO0,6,0,2
20180324HHWO0,7,0,2
20180324HHWO0,8,0,2
20180324KTHT0,1,0,1
20180324KTHT0,2,0,1
20180324KTHT0,3,1,1
20180324KTHT0,4,0,1
20180324KTHT0,5,0,1
20180324KTHT0,6,3,1
20180324KTHT0,7,1,1
20180324KTHT0,8,0,1
20180324KTHT0,9,0,1
20180324KTHT0,1,2,2
20180324KTHT0,2,0,2
20180324KTHT0,3,0,2
20180324KTHT0,4,0,2
20180324KTHT0,5,0,2
20180324KTHT0,6,2,2
20180324KTHT0,7,0,2
20180324KTHT0,8,0,2
20180324KTHT0,9,0,2
20180324LGNC0,1,0,1
20180324LGNC0,2,1,1
20180324LGNC0,3,0,1
20180324LGNC0,4,0,1
20180324LGNC0,5,0,1
20180324LGNC0,6,0,1
20180324LGNC0,7,0,1
20180324LGNC0,8,0,1
20180324LGNC0,9,1,1
20180324LGNC0,1,0,2
20180324LGNC0,2,0,2
20180324LGNC0,3,2,2
20180324LGNC0,4,0,2
20180324LGNC0,5,0,2
20180324LGNC0,6,0,2
20180324LGNC0,7,0,2
20180324LGNC0,8,2,2
20180324LTSK0,1,1,1
20180324LTSK0,2,1,1
20180324LTSK0,3,1,1
20180324LTSK0,4,0,1
20180324LTSK0,5,1,1
20180324LTSK0,6,0,1
20180324LTSK0,7,1,1
20180324LTSK0,8,0,1
20180324LTSK0,9,0,1
20180324LTSK0,1,2,2
20180324LTSK0,2,0,2
20180324LTSK0,3,2,2
20180324LTSK0,4,1,2
20180324LTSK0,5,0,2
20180324LTSK0,6,0,2
20180324LTSK0,7,1,2
20180324LTSK0,8,0,2
20180324SSOB0,1,1,1
20180324SSOB0,2,0,1
20180324SSOB0,3,3,1
20180324SSOB0,4,0,1
20180324SSOB0,5,0,1
20180324SSOB0,6,0,1
20180324SSOB0,7,0,1
20180324SSOB0,8,0,1
20180324SSOB0,9,2,1
20180324SSOB0,1,0,2
20180324SSOB0,2,0,2
20180324SSOB0,3,0,2
20180324SSOB0,4,0,2
20180324SSOB0,5,1,2
20180324SSOB0,6,0,2
20180324SSOB0,7,2,2
20180324SSOB0,8,0,2
20180324SSOB0,9,0,2
20180325HHWO0,1,0,1
20180325HHWO0,2,0,1
20180325HHWO0,3,1,1
20180325HHWO0,4,0,1
20180325HHWO0,5,2,1
20180325HHWO0,6,0,1
20180325HHWO0,7,0,1
20180325HHWO0,8,1,1
20180325HHWO0,9,0,1
20180325HHWO0,1,0,2
20180325HHWO0,2,0,2
20180325HHWO0,3,0,2
20180325HHWO0,4,0,2
20180325HHWO0,5,0,2
20180325HHWO0,6,0,2
20180325HHWO0,7,1,2
20180325HHWO0,8,0,2
20180325HHWO0,9,0,2
20180325KTHT0,1,0,1
20180325KTHT0,2,0,1
20180325KTHT0,3,0,1
20180325KTHT0,4,0,1
20180325KTHT0,5,1,1
20180325KTHT0,6,0,1
20180325KTHT0,7,0,1
20180325KTHT0,8,0,1
20180325KTHT0,9,0,1
20180325KTHT0,1,6,2
20180325KTHT0,2,1,2
20180325KTHT0,3,0,2
20180325KTHT0,4,0,2
20180325KTHT0,5,0,2
20180325KTHT0,6,3,2
20180325KTHT0,7,0,2
20180325KTHT0,8,4,2
20180325LGNC0,1,0,1
20180325LGNC0,2,0,1
20180325LGNC0,3,0,1
20180325LGNC0,4,0,1
20180325LGNC0,5,0,1
20180325LGNC0,6,0,1
20180325LGNC0,7,0,1
20180325LGNC0,8,1,1
20180325LGNC0,9,0,1
20180325LGNC0,1,0,2
20180325LGNC0,2,0,2
20180325LGNC0,3,1,2
