G_ID,START_TM,END_TM,AWAY_HOME,TEAM_ID,SCORE,PLAY_RESULT,PARK_ID,YEAR
20180324HHWO0,14:01,17:35,1,51,3,1,11,2018
20180324HHWO0,14:01,17:35,2,60,6,3,11,2018
20180324KTHT0,14:02,17:21,1,53,5,3,12,2018
20180324KTHT0,14:02,17:21,2,52,4,1,12,2018
20180324LGNC0,14:01,16:48,1,54,2,1,15,2018
20180324LGNC0,14:01,16:48,2,56,4,3,15,2018
20180324LTSK0,13:59,17:48,1,55,5,1,16,2018
20180324LTSK0,13:59,17:48,2,58,6,3,16,2018
20180324SSOB0,14:03,17:09,1,59,6,3,20,2018
20180324SSOB0,14:03,17:09,2,57,3,1,20,2018
20180325HHWO0,14:00,17:12,1,51,4,3,11,2018
20180325HHWO0,14:00,17:12,2,60,1,1,11,2018
20180325KTHT0,14:01,16:47,1,53,1,1,12,2018
20180325KTHT0,14:01,16:47,2,52,14,3,12,2018
20180325LGNC0,14:01,17:23,1,54,1,1,15,2018
20180325LGNC0,14:01,17:23,2,56,7,3,15,2018
20180325LTSK0,13:58,16:51,1,55,0,1,16,2018
20180325LTSK0,13:58,16:51,2,58,5,3,16,2018
20180325SSOB0,14:00,16:48,1,59,4,1,20,2018
20180325SSOB0,14:00,16:48,2,57,5,3,20,2018
20180327HHNC0,18:30,21:59,1,51,6,1,15,2018
20180327HHNC0,18:30,21:59,2,56,9,3,15,2018
20180327KTSK0,18:30,21:35,1,53,5,1,16,2018
20180327KTSK0,18:30,21:35,2,58,8,3,16,2018
20180327LGWO0,18:30,22:16,1,54,4,1,11,2018
20180327LGWO0,18:30,22:16,2,60,5,3,11,2018
20180327LTOB0,18:30,21:38,1,55,0,1,20,2018
20180327LTOB0,18:30,21:38,2,57,5,3,20,2018
20180327SSHT0,18:29,21:30,1,59,0,1,12,2018
20180327SSHT0,18:29,21:30,2,52,17,3,12,2018
20180328HHNC0,18:31,21:59,1,51,6,3,15,2018
20180328HHNC0,18:31,21:59,2,56,2,1,15,2018
20180328KTSK0,18:30,21:30,1,53,8,3,16,2018
20180328KTSK0,18:30,21:30,2,58,5,1,16,2018
20180328LGWO0,18:30,21:39,1,54,9,3,11,2018
20180328LGWO0,18:30,21:39,2,60,3,1,11,2018
20180328LTOB0,18:30,21:54,1,55,5,1,20,2018
20180328LTOB0,18:30,21:54,2,57,6,3,20,2018
20180328SSHT0,18:29,21:28,1,59,6,3,12,2018
20180328SSHT0,18:29,21:28,2,52,0,1,12,2018
20180329HHNC0,18:31,22:03,1,51,1,1,15,2018
20180329HHNC0,18:31,22:03,2,56,4,3,15,2018
20180329KTSK0,18:30,21:15,1,53,7,3,16,2018
20180329KTSK0,18:30,21:15,2,58,1,1,16,2018
20180329LGWO0,18:30,21:38,1,54,4,1,11,2018
20180329LGWO0,18:30,21:38,2,60,9,3,11,2018
20180329LTOB0,18:31,21:27,1,55,1,1,20,2018
20180329LTOB0,18:31,21:27,2,57,4,3,20,2018
20180329SSHT0,18:29,21:56,1,59,0,1,12,2018
20180329SSHT0,18:29,21:56,2,52,7,3,12,2018
20180330HTLG0,18:30,22:16,1,52,4,3,20,2018
20180330HTLG0,18:30,22:16,2,54,3,1,20,2018
20180330NCLT0,18:31,21:54,1,56,7,3,17,2018
20180330NCLT0,18:31,21:54,2,55,5,1,17,2018
20180330OBKT0,19:00,22:13,1,57,6,3,18,2018
20180330OBKT0,19:00,22:13,2,53,2,1,18,2018
20180330SKHH0,18:29,21:41,1,58,8,3,14,2018
20180330SKHH0,18:29,21:41,2,51,4,1,14,2018
20180330WOSS0,18:32,23:24,1,60,10,1,13,2018
20180330WOSS0,18:32,23:24,2,59,8,3,13,2018
20180331HTLG0,17:00,19:52,1,52,4,1,20,2018
20180331HTLG0,17:00,19:52,2,54,6,3,20,2018
20180331NCLT0,17:02,21:01,1,56,10,1,17,2018
20180331NCLT0,17:02,21:01,2,55,5,3,17,2018
