G_ID,AWAY_R,AWAY_H,AWAY_E,AWAY_B,HOME_R,HOME_H,HOME_E,HOME_B
20180324HHWO0,3,13,1,1,6,12,1,4
20180324KTHT0,5,11,0,1,4,12,0,4
20180324LGNC0,2,7,0,1,4,9,0,4
20180324LTSK0,5,7,2,6,6,8,3,7
20180324SSOB0,6,13,1,5,3,6,0,0
20180325HHWO0,4,11,0,3,1,5,0,2
20180325KTHT0,1,7,0,0,14,16,0,4
20180325LGNC0,1,3,3,5,7,8,0,9
20180325LTSK0,0,5,0,1,5,9,1,5
20180325SSOB0,4,6,1,1,5,8,0,4
20180327HHNC0,6,10,1,7,9,9,0,5
20180327KTSK0,5,8,2,2,8,14,2,4
20180327LGWO0,4,10,1,4,5,14,0,4
20180327LTOB0,0,3,0,2,5,7,0,8
20180327SSHT0,0,6,0,2,17,14,0,10
20180328HHNC0,6,10,0,4,2,5,2,4
20180328KTSK0,8,15,1,4,5,9,2,1
20180328LGWO0,9,13,0,3,3,4,2,7
20180328LTOB0,5,10,2,5,6,5,1,7
20180328SSHT0,6,14,0,2,0,5,1,3
20180329HHNC0,1,6,2,2,4,10,1,4
20180329KTSK0,7,12,0,2,1,7,0,1
20180329LGWO0,4,11,0,6,9,12,1,6
20180329LTOB0,1,4,1,4,4,9,1,2
20180329SSHT0,0,3,0,6,7,13,0,5
20180330HTLG0,4,10,1,3,3,10,0,4
20180330NCLT0,7,10,1,2,5,6,1,2
20180330OBKT0,6,11,1,5,2,7,0,1
20180330SKHH0,8,6,0,6,4,9,1,2
20180330WOSS0,10,19,2,8,8,14,0,5
20180331HTLG0,4,6,1,3,6,9,0,1
20180331NCLT0,10,14,0,6,5,9,0,5
20180331OBKT0,8,13,2,3,20,22,0,7
20180331SKHH0,12,13,0,7,1,8,1,4
20180331WOSS0,4,9,0,6,2,7,0,2
20180401HTLG0,5,9,0,5,6,10,0,5
20180401NCLT0,2,7,1,2,3,10,0,3
20180401OBKT0,4,10,1,3,9,13,0,5
20180401SKHH0,13,15,0,6,1,4,1,0
20180401WOSS0,5,9,1,6,6,14,2,5
20180403HTSK0,3,5,0,3,13,14,1,6
20180403KTWO0,7,11,0,3,1,6,1,4
20180403LGOB0,4,16,1,8,5,12,0,3
20180403LTHH0,11,15,2,6,17,11,2,9
20180403SSNC0,3,11,0,6,4,8,2,1
20180404HTSK0,9,19,0,2,6,7,1,4
20180404KTWO0,2,5,0,1,10,12,0,3
20180404LGOB0,3,12,0,1,6,10,0,7
20180404LTHH0,6,12,1,4,7,10,1,8
20180404SSNC0,1,4,0,4,4,9,1,3
20180405KTWO0,3,6,0,2,4,7,0,5
20180405SSNC0,4,13,1,1,1,7,1,1
20180406LGLT0,14,14,1,9,6,9,0,5
20180406WOHT0,5,13,1,0,11,16,1,7
20180407HHKT0,2,8,1,1,10,10,1,11
20180407LGLT0,2,9,0,5,7,13,0,7
20180407NCOB0,3,8,1,2,6,7,1,9
20180407SSSK0,3,9,1,1,4,7,3,5
20180407WOHT0,1,10,1,3,5,9,0,3
20180408HHKT0,12,14,0,7,8,10,2,7
20180408LGLT0,4,7,4,4,2,7,1,1
20180408NCOB0,10,13,2,4,11,14,0,12
20180408SSSK0,12,11,0,8,4,10,2,4
20180408WOHT0,3,13,0,2,4,9,0,0
20180410HTHH0,3,8,0,1,4,7,0,6
20180410KTNC0,5,8,1,1,4,5,1,3
20180410OBSS0,8,12,0,2,1,4,4,1
20180410SKLG0,4,12,2,5,1,6,1,4
20180410WOLT0,3,6,1,7,4,11,0,4
20180411HTHH0,4,7,1,3,6,11,1,5
20180411KTNC0,12,21,0,4,4,7,3,2
20180411OBSS0,7,10,0,6,6,14,1,2
20180411SKLG0,0,3,0,2,3,7,0,1
20180411WOLT0,0,2,0,1,12,17,0,5
20180412HTHH0,4,7,1,3,15,17,0,4
