선수명,등판,결과,승,패,세,이닝,타자,투구수,타수,피안타,홈런,4사구,삼진,실점,자책,평균자책점,G_ID,team_id
샘슨,선발,패,0,1,0,4,25,110,21,8,1,4,8,6,5,11.25,20180324HHWO0,HH
김범수,5.8,,0,0,0,2/3,3,13,3,1,0,0,1,0,0,0.00,20180324HHWO0,HH
심수창,5.2,,0,0,0,2/3,4,16,4,2,0,0,0,0,0,0.00,20180324HHWO0,HH
박주홍,6.6,,0,0,0,2/3,2,3,2,0,0,0,0,0,0,0.00,20180324HHWO0,HH
송은범,7.8,,0,0,0,2/3,3,14,3,1,0,0,0,0,0,0.00,20180324HHWO0,HH
서균,7.2,,0,0,0,1,3,10,3,0,0,0,0,0,0,0.00,20180324HHWO0,HH
박상원,8.5,,0,0,0,1/3,1,7,1,0,0,0,1,0,0,0.00,20180324HHWO0,HH
로저스,선발,승,1,0,0,6 2/3,27,106,26,9,0,1,6,3,2,2.70,20180324HHWO0,WO
이보근,7.1,홀드,0,0,0,1/3,2,8,2,1,0,0,0,0,0,0.00,20180324HHWO0,WO
김상수,8.3,홀드,0,0,0,1,4,17,4,1,0,0,1,0,0,0.00,20180324HHWO0,WO
조상우,9.7,세,0,0,1,1,5,21,5,2,0,0,2,0,0,0.00,20180324HHWO0,WO
피어밴드,선발,,0,0,0,5,25,100,22,8,0,2,5,2,2,3.60,20180324KTHT0,KT
심재민,6.8,승,1,0,0,1,6,23,2,1,0,2,1,2,2,18.00,20180324KTHT0,KT
고창성,7.5,홀드,0,0,0,1,4,18,4,1,0,0,1,0,0,0.00,20180324KTHT0,KT
이상화,8.9,홀드,0,0,0,1,4,16,4,1,0,0,1,0,0,0.00,20180324KTHT0,KT
엄상백,9.4,세,0,0,1,1,4,8,4,1,0,0,0,0,0,0.00,20180324KTHT0,KT
헥터,선발,,0,0,0,5 1/3,25,110,24,9,2,1,6,4,4,6.75,20180324KTHT0,HT
임기준,6.8,,0,0,0,1/3,1,3,1,0,0,0,0,0,0,0.00,20180324KTHT0,HT
임창용,6.9,,0,0,0,2/3,2,9,2,0,0,0,1,0,0,0.00,20180324KTHT0,HT
김윤동,7.2,패,0,1,0,1 2/3,6,21,6,1,1,0,1,1,1,5.40,20180324KTHT0,HT
김세현,9.8,,0,0,0,1,4,11,4,1,0,0,1,0,0,0.00,20180324KTHT0,HT
윌슨,선발,패,0,1,0,6,25,103,21,5,0,3,7,2,2,3.00,20180324LGNC0,LG
임정우,7.8,,0,0,0,1/3,2,9,1,0,0,1,0,0,0,0.00,20180324LGNC0,LG
진해수,7.1,,0,0,0,2/3,3,11,3,1,0,0,1,0,0,0.00,20180324LGNC0,LG
신정락,8.4,,0,0,0,1,5,18,5,3,1,0,1,2,2,18.00,20180324LGNC0,LG
왕웨이중,선발,승,1,0,0,7,25,89,23,6,0,1,6,1,1,1.29,20180324LGNC0,NC
김진성,8.8,홀드,0,0,0,1,4,10,4,1,1,0,1,1,1,9.00,20180324LGNC0,NC
강윤구,9.3,홀드,0,0,0,1/3,1,6,1,0,0,0,1,0,0,0.00,20180324LGNC0,NC
원종현,9.4,세,0,0,1,2/3,2,8,2,0,0,0,1,0,0,0.00,20180324LGNC0,NC
듀브론트,선발,,0,0,0,4,24,104,17,5,0,6,2,5,4,9.00,20180324LTSK0,LT
장시환,5.7,,0,0,0,2,7,27,7,0,0,0,5,0,0,0.00,20180324LTSK0,LT
진명호,7.5,패,0,1,0,2/3,5,15,4,2,1,1,0,1,1,13.50,20180324LTSK0,LT
박진형,7.1,,0,0,0,1 1/3,4,20,4,1,0,0,3,0,0,0.00,20180324LTSK0,LT
켈리,선발,,0,0,0,5,24,102,21,6,0,3,10,4,3,5.40,20180324LTSK0,SK
정영일,6.7,홀드,0,0,0,1,3,13,3,0,0,0,0,0,0,0.00,20180324LTSK0,SK
백인식,7.1,승,1,0,0,1,6,26,4,1,0,2,1,1,1,9.00,20180324LTSK0,SK
윤희상,8.7,홀드,0,0,0,1,3,16,2,0,0,1,0,0,0,0.00,20180324LTSK0,SK
박정배,9.1,세,0,0,1,1,3,13,3,0,0,0,1,0,0,0.00,20180324LTSK0,SK
윤성환,선발,승,1,0,0,6 2/3,25,76,25,6,1,0,2,3,3,4.05,20180324SSOB0,SS
임현준,7.8,홀드,0,0,0,1/3,1,7,1,0,0,0,1,0,0,0.00,20180324SSOB0,SS
한기주,8.9,홀드,0,0,0,1,3,9,3,0,0,0,0,0,0,0.00,20180324SSOB0,SS
심창민,9.3,세,0,0,1,1,3,22,3,0,0,0,1,0,0,0.00,20180324SSOB0,SS
린드블럼,선발,패,0,1,0,4 1/3,22,93,19,8,0,2,4,4,4,8.31,20180324SSOB0,OB
이영하,5.5,,0,0,0,1 1/3,6,25,6,2,0,0,3,0,0,0.00,20180324SSOB0,OB
박치국,6.2,,0,0,0,1 1/3,5,11,4,0,0,1,0,0,0,0.00,20180324SSOB0,OB
함덕주,8.7,,0,0,0,1/3,2,16,1,0,0,1,0,0,0,0.00,20180324SSOB0,OB
김강률,8.9,,0,0,0,1 1/3,7,20,6,3,0,1,1,2,2,13.50,20180324SSOB0,OB
곽빈,9.7,,0,0,0,1/3,1,7,1,0,0,0,1,0,0,0.00,20180324SSOB0,OB
휠러,선발,승,1,0,0,7,26,105,24,4,1,2,7,1,1,1.29,20180325HHWO0,HH
송창식,8.9,,0,0,0,1/3,1,5,1,0,0,0,1,0,0,0.00,20180325HHWO0,HH
박주홍,8.1,,0,0,0,1/3,1,6,1,0,0,0,1,0,0,0.00,20180325HHWO0,HH
서균,8.2,,0,0,0,0,1,4,1,1,0,0,0,0,0,0.00,20180325HHWO0,HH
박상원,8.3,홀드,0,0,0,1/3,1,5,1,0,0,0,1,0,0,0.00,20180325HHWO0,HH
정우람,9.4,세,0,0,1,1,3,13,3,0,0,0,1,0,0,0.00,20180325HHWO0,HH
최원태,선발,패,0,1,0,5,24,92,21,8,0,3,4,3,3,5.40,20180325HHWO0,WO
김성민,6.7,,0,0,0,1 1/3,5,20,5,1,0,0,3,0,0,0.00,20180325HHWO0,WO
김선기,7.3,,0,0,0,1 2/3,6,22,6,1,1,0,2,1,1,5.40,20180325HHWO0,WO
오주원,9.9,,0,0,0,1,4,20,4,1,0,0,0,0,0,0.00,20180325HHWO0,WO
주권,선발,패,0,1,0,3,20,77,18,9,1,2,4,7,7,21.00,20180325KTHT0,KT
류희운,4.3,,0,0,0,2,7,23,7,1,0,0,2,0,0,0.00,20180325KTHT0,KT
홍성용,6.1,,0,0,0,1,6,17,5,3,1,0,0,3,3,27.00,20180325KTHT0,KT
배우열,7.7,,0,0,0,1,4,15,3,0,0,1,0,0,0,0.00,20180325KTHT0,KT
김재윤,8.2,,0,0,0,1,7,25,6,3,2,1,2,4,4,36.00,20180325KTHT0,KT
양현종,선발,승,1,0,0,7,24,81,24,4,1,0,6,1,1,1.29,20180325KTHT0,HT
