날짜,요일,시간,경기,게임센터,하이라이트,TV,라디오,구장,비고,gameId,away,away_score,home,home_score
2018.3.24,토,14:00,"LG,2,4,NC",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180324&gameId=20180324LGNC0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180324&gameId=20180324LGNC0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,"KN-T,SPO-T","KNN-R,GM-R",마산,-,20180324LGNC0,LG,2,NC,4
2018.3.24,토,14:00,"삼성,6,3,두산",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180324&gameId=20180324SSOB0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180324&gameId=20180324SSOB0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,S-T,"T-R,DM-R",잠실,-,20180324SSOB0,삼성,6,두산,3
2018.3.24,토,14:00,"롯데,5,6,SK",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180324&gameId=20180324LTSK0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180324&gameId=20180324LTSK0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,M-T,"KNN-R,PM-R",문학,-,20180324LTSK0,롯데,5,SK,6
2018.3.24,토,14:00,"KT,5,4,KIA",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180324&gameId=20180324KTHT0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180324&gameId=20180324KTHT0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,K-2T,KBC-R,광주,-,20180324KTHT0,KT,5,KIA,4
2018.3.24,토,14:00,"한화,3,6,넥센",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180324&gameId=20180324HHWO0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180324&gameId=20180324HHWO0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,"MS-T,SPO-2T",S-R,고척,-,20180324HHWO0,한화,3,넥센,6
2018.3.25,일,14:00,"LG,1,7,NC",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180325&gameId=20180325LGNC0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180325&gameId=20180325LGNC0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,KN-T,"KNN-R,GM-R",마산,-,20180325LGNC0,LG,1,NC,7
2018.3.25,일,14:00,"삼성,4,5,두산",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180325&gameId=20180325SSOB0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180325&gameId=20180325SSOB0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SS-T,"T-R,DM-R",잠실,-,20180325SSOB0,삼성,4,두산,5
2018.3.25,일,14:00,"롯데,0,5,SK",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180325&gameId=20180325LTSK0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180325&gameId=20180325LTSK0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,MS-T,"KNN-R,PM-R",문학,-,20180325LTSK0,롯데,0,SK,5
2018.3.25,일,14:00,"KT,1,14,KIA",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180325&gameId=20180325KTHT0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180325&gameId=20180325KTHT0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SPO-2T,KBC-R,광주,-,20180325KTHT0,KT,1,KIA,14
2018.3.25,일,14:00,"한화,4,1,넥센",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180325&gameId=20180325HHWO0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180325&gameId=20180325HHWO0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SPO-T,,고척,-,20180325HHWO0,한화,4,넥센,1
2018.3.27,화,18:30,"한화,6,9,NC",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180327&gameId=20180327HHNC0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180327&gameId=20180327HHNC0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,MS-T,"KNN-R,GM-R",마산,-,20180327HHNC0,한화,6,NC,9
2018.3.27,화,18:30,"롯데,0,5,두산",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180327&gameId=20180327LTOB0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180327&gameId=20180327LTOB0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SPO-2T,"KNN-R,PM-R",잠실,-,20180327LTOB0,롯데,0,두산,5
2018.3.27,화,18:30,"KT,5,8,SK",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180327&gameId=20180327KTSK0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180327&gameId=20180327KTSK0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SS-T,,문학,-,20180327KTSK0,KT,5,SK,8
2018.3.27,화,18:30,"삼성,0,17,KIA",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180327&gameId=20180327SSHT0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180327&gameId=20180327SSHT0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,SPO-T,"T-R,KBC-R",광주,-,20180327SSHT0,삼성,0,KIA,17
2018.3.27,화,18:30,"LG,4,5,넥센",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180327&gameId=20180327LGWO0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180327&gameId=20180327LGWO0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,KN-T,,고척,-,20180327LGWO0,LG,4,넥센,5
2018.3.28,수,18:30,"한화,6,2,NC",<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180328&gameId=20180328HHNC0&section=REVIEW' class='btn2 mr5' id='btnReview'>리뷰</a>,<a href='/Schedule/GameCenter/Main.aspx?gameDate=20180328&gameId=20180328HHNC0&section=HIGHLIGHT' class='btn2' id='btnHighlight' style='width:65px;'>하이라이트</a>,MS-T,"KNN-R,GM-R",마산,-,20180328HHNC0,한화,6,NC,2
