AWAY_Score,AWAY_GameRecord,HOME_Score,HOME_GameRecord,G_ID,AWAY_Win,AWAY_Lose,AWAY_Draw,HOME_Win,HOME_Lose,HOME_Draw
패,0승 1패 0무,승,1승 0패 0무,20180324HHWO0,0,0,0,0,0,0
승,1승 0패 0무,패,0승 1패 0무,20180324KTHT0,1,1,1,1,1,1
패,0승 1패 0무,승,1승 0패 0무,20180324LGNC0,0,0,0,0,0,0
패,0승 1패 0무,승,1승 0패 0무,20180324LTSK0,0,0,0,0,0,0
승,1승 0패 0무,패,0승 1패 0무,20180324SSOB0,1,1,1,1,1,1
승,1승 1패 0무,패,1승 1패 0무,20180325HHWO0,1,1,1,1,1,1
패,1승 1패 0무,승,1승 1패 0무,20180325KTHT0,1,1,1,1,1,1
패,0승 2패 0무,승,2승 0패 0무,20180325LGNC0,0,0,0,0,0,0
패,0승 2패 0무,승,2승 0패 0무,20180325LTSK0,0,0,0,0,0,0
패,1승 1패 0무,승,1승 1패 0무,20180325SSOB0,1,1,1,1,1,1
패,1승 2패 0무,승,3승 0패 0무,20180327HHNC0,1,1,1,1,1,1
패,1승 2패 0무,승,3승 0패 0무,20180327KTSK0,1,1,1,1,1,1
패,0승 3패 0무,승,2승 1패 0무,20180327LGWO0,0,0,0,0,0,0
패,0승 3패 0무,승,2승 1패 0무,20180327LTOB0,0,0,0,0,0,0
패,1승 2패 0무,승,2승 1패 0무,20180327SSHT0,1,1,1,1,1,1
승,2승 2패 0무,패,3승 1패 0무,20180328HHNC0,2,2,2,2,2,2
승,2승 2패 0무,패,3승 1패 0무,20180328KTSK0,2,2,2,2,2,2
승,1승 3패 0무,패,2승 2패 0무,20180328LGWO0,1,1,1,1,1,1
패,0승 4패 0무,승,3승 1패 0무,20180328LTOB0,0,0,0,0,0,0
승,2승 2패 0무,패,2승 2패 0무,20180328SSHT0,2,2,2,2,2,2
패,2승 3패 0무,승,4승 1패 0무,20180329HHNC0,2,2,2,2,2,2
승,3승 2패 0무,패,3승 2패 0무,20180329KTSK0,3,3,3,3,3,3
패,1승 4패 0무,승,3승 2패 0무,20180329LGWO0,1,1,1,1,1,1
패,0승 5패 0무,승,4승 1패 0무,20180329LTOB0,0,0,0,0,0,0
패,2승 3패 0무,승,3승 2패 0무,20180329SSHT0,2,2,2,2,2,2
