G_ID,inning_01,inning_02,inning_03,inning_04,inning_05,inning_06,inning_07,inning_08,inning_09,inning_10,inning_11,inning_12
20180324HHWO0,1,1,0,0,0,0,1,0,0,-,-,-
20180324KTHT0,0,0,1,0,0,3,1,0,0,-,-,-
20180324LGNC0,0,1,0,0,0,0,0,0,1,-,-,-
20180324LTSK0,1,1,1,0,1,0,1,0,0,-,-,-
20180324SSOB0,1,0,3,0,0,0,0,0,2,-,-,-
20180325HHWO0,0,0,1,0,2,0,0,1,0,-,-,-
20180325KTHT0,0,0,0,0,1,0,0,0,0,-,-,-
20180325LGNC0,0,0,0,0,0,0,0,1,0,-,-,-
20180325LTSK0,0,0,0,0,0,0,0,0,0,-,-,-
20180325SSOB0,4,0,0,0,0,0,0,0,0,-,-,-
20180327HHNC0,0,0,0,3,0,0,0,3,0,-,-,-
20180327KTSK0,0,0,1,0,0,0,3,1,0,-,-,-
20180327LGWO0,0,2,0,0,0,0,0,0,2,0,-,-
20180327LTOB0,0,0,0,0,0,0,0,0,0,-,-,-
20180327SSHT0,0,0,0,0,0,0,0,0,0,-,-,-
20180328HHNC0,0,0,1,0,1,0,0,4,0,-,-,-
20180328KTSK0,0,0,1,2,0,3,2,0,0,-,-,-
20180328LGWO0,4,0,0,3,0,0,0,2,0,-,-,-
20180328LTOB0,2,2,0,0,0,0,0,0,1,-,-,-
20180328SSHT0,1,1,0,0,0,1,1,2,0,-,-,-
20180329HHNC0,0,0,0,0,0,1,0,0,0,-,-,-
20180329KTSK0,0,2,1,0,0,4,0,0,0,-,-,-
20180329LGWO0,1,1,0,0,0,0,0,0,2,-,-,-
20180329LTOB0,0,0,0,1,0,0,0,0,0,-,-,-
20180329SSHT0,0,0,0,0,0,0,0,0,0,-,-,-
20180330HTLG0,0,0,0,1,2,0,1,0,0,-,-,-
20180330NCLT0,0,0,3,0,2,0,1,1,0,-,-,-
20180330OBKT0,0,0,3,0,0,0,0,3,0,-,-,-
20180330SKHH0,0,1,0,3,4,0,0,0,0,-,-,-
20180330WOSS0,0,0,2,0,3,3,0,0,0,0,0,2
20180331HTLG0,0,1,0,0,3,0,0,0,0,-,-,-
20180331NCLT0,0,0,0,3,0,2,0,0,5,-,-,-
20180331OBKT0,4,0,4,0,0,0,0,0,0,-,-,-
20180331SKHH0,3,0,0,0,4,1,0,2,2,-,-,-
20180331WOSS0,1,0,0,0,0,1,2,0,0,-,-,-
20180401HTLG0,0,0,0,0,1,2,2,0,0,-,-,-
20180401NCLT0,0,0,0,0,1,1,0,0,0,-,-,-
20180401OBKT0,0,2,1,0,1,0,0,0,0,-,-,-
20180401SKHH0,1,1,1,0,4,1,3,1,1,-,-,-
20180401WOSS0,0,0,1,3,0,0,0,0,1,-,-,-
20180403HTSK0,1,1,0,1,0,0,0,0,0,-,-,-
20180403KTWO0,0,2,2,1,2,0,0,0,0,-,-,-
20180403LGOB0,0,0,0,1,0,0,0,1,2,0,0,-
20180403LTHH0,0,0,2,8,0,0,1,0,0,-,-,-
20180403SSNC0,0,0,0,0,0,0,2,1,0,0,-,-
20180404HTSK0,0,1,0,0,0,1,0,4,0,3,-,-
20180404KTWO0,0,1,1,0,0,0,0,0,0,-,-,-
20180404LGOB0,0,1,0,0,0,0,1,0,1,-,-,-
20180404LTHH0,2,0,1,0,0,1,0,0,2,-,-,-
20180404SSNC0,0,0,1,0,0,0,0,0,0,-,-,-
20180405KTWO0,2,0,0,0,0,0,0,0,1,0,-,-
20180405SSNC0,0,0,0,0,0,0,0,1,3,-,-,-
20180406LGLT0,2,1,5,0,1,2,1,0,2,-,-,-
20180406WOHT0,0,1,0,0,2,0,0,1,1,-,-,-
20180407HHKT0,0,1,0,0,0,0,1,0,0,-,-,-
20180407LGLT0,0,0,1,1,0,0,0,0,0,-,-,-
20180407NCOB0,0,0,0,0,1,2,0,0,0,-,-,-
20180407SSSK0,0,0,0,2,0,0,0,1,0,0,0,0
20180407WOHT0,0,0,0,1,0,0,0,0,0,-,-,-
20180408HHKT0,0,0,0,3,0,0,5,0,0,4,-,-
20180408LGLT0,0,0,0,0,1,0,1,0,2,-,-,-
20180408NCOB0,0,0,0,3,2,0,0,1,4,-,-,-
20180408SSSK0,0,3,3,4,2,0,0,0,0,-,-,-
20180408WOHT0,0,0,1,0,0,0,2,0,0,-,-,-
20180410HTHH0,0,1,0,2,0,0,0,0,0,-,-,-
20180410KTNC0,0,0,0,0,0,0,0,2,3,-,-,-
20180410OBSS0,2,0,1,1,0,2,0,0,2,-,-,-
20180410SKLG0,0,1,1,0,2,0,0,0,0,-,-,-
20180410WOLT0,2,0,0,0,0,0,1,0,0,-,-,-
20180411HTHH0,0,0,0,1,3,0,0,0,0,-,-,-
20180411KTNC0,0,0,2,1,2,3,0,0,4,-,-,-
20180411OBSS0,0,0,1,0,3,3,0,0,0,-,-,-
20180411SKLG0,0,0,0,0,0,0,0,0,0,-,-,-
20180411WOLT0,0,0,0,0,0,0,0,0,0,-,-,-
20180412HTHH0,0,1,0,0,0,0,1,2,0,-,-,-
20180412KTNC0,0,1,0,0,2,2,2,0,0,-,-,-
20180412OBSS0,0,2,0,3,0,2,0,1,1,-,-,-
20180412SKLG0,0,0,0,0,0,0,0,0,4,-,-,-
20180412WOLT0,1,0,1,0,2,0,1,0,0,-,-,-
20180413KTLG0,0,1,0,0,0,0,0,0,0,-,-,-
20180413LTHT0,0,0,0,0,0,0,0,1,7,-,-,-
20180413NCSK0,0,0,0,0,0,0,0,2,0,-,-,-
20180413OBWO0,0,0,1,0,1,0,0,7,3,-,-,-
20180413SSHH0,0,3,0,0,0,0,0,0,1,-,-,-
20180414KTLG0,0,0,0,0,0,0,0,0,0,-,-,-
20180414NCSK0,0,0,0,0,0,0,0,0,0,-,-,-
20180414OBWO0,0,0,0,1,5,0,0,0,0,-,-,-
20180414SSHH0,1,0,0,0,0,0,0,0,1,-,-,-
20180415KTLG0,0,0,3,0,0,0,0,5,0,-,-,-
20180415NCSK0,0,0,0,0,0,0,0,2,0,-,-,-
20180415OBWO0,0,0,1,0,0,0,2,0,0,-,-,-
20180415SSHH0,0,1,3,0,0,0,0,0,0,-,-,-
20180417HHOB0,2,0,2,0,1,0,0,0,0,-,-,-
20180417LGHT0,0,1,1,0,0,1,0,0,1,-,-,-
20180417NCWO0,0,0,0,0,0,2,0,0,0,0,1,-
20180417SKKT0,1,0,1,1,2,1,1,1,1,-,-,-
20180417SSLT0,0,0,3,0,3,1,2,0,2,-,-,-
20180418HHOB0,0,0,2,0,0,2,0,0,0,-,-,-
20180418LGHT0,2,0,0,0,0,1,0,0,0,-,-,-
20180418NCWO0,0,0,0,0,0,0,0,1,0,-,-,-
20180418SKKT0,4,0,0,2,0,0,1,0,1,-,-,-
20180418SSLT0,1,1,3,0,1,0,0,0,0,0,0,1
20180419HHOB0,2,0,0,0,0,0,0,0,0,-,-,-
20180419LGHT0,0,1,0,3,0,0,0,0,0,-,-,-
20180419NCWO0,0,0,0,0,0,0,0,1,2,-,-,-
20180419SKKT0,2,0,2,0,0,0,0,0,2,-,-,-
20180419SSLT0,0,2,1,1,0,0,1,1,0,-,-,-
20180420HTOB0,0,0,0,0,0,1,0,1,2,-,-,-
20180420KTSS0,0,0,0,0,0,0,4,0,1,-,-,-
20180420LGNC0,0,6,0,0,2,0,0,0,1,-,-,-
20180420SKLT0,2,0,0,1,0,1,1,0,0,-,-,-
20180420WOHH0,0,0,1,1,3,0,1,0,0,-,-,-
20180421HTOB0,0,0,0,0,0,0,2,3,0,-,-,-
20180421KTSS0,0,1,0,0,0,0,0,0,0,-,-,-
20180421LGNC0,2,0,2,1,1,0,0,0,0,-,-,-
20180421SKLT0,0,0,0,0,0,0,0,3,0,-,-,-
20180421WOHH0,0,0,0,0,0,2,0,2,0,-,-,-
20180422HTOB0,3,0,3,3,4,0,1,0,0,-,-,-
20180422KTSS0,0,1,1,0,1,0,0,3,0,-,-,-
20180422LGNC0,1,1,0,0,0,0,1,2,0,-,-,-
20180422SKLT0,0,0,6,0,0,1,3,0,0,-,-,-
20180422WOHH0,2,2,0,0,6,0,0,0,0,-,-,-
20180424LTKT0,4,0,1,0,8,1,0,0,0,-,-,-
20180424NCSS0,0,2,0,0,0,0,0,0,0,-,-,-
20180424OBSK0,0,1,0,0,1,8,0,0,0,-,-,-
20180424WOLG0,0,1,0,0,0,0,0,0,1,-,-,-
20180425HHHT0,0,0,0,2,0,0,0,0,1,-,-,-
20180425LTKT0,0,0,0,0,3,1,0,1,0,-,-,-
20180425NCSS0,0,0,0,1,0,2,0,3,3,-,-,-
20180425OBSK0,1,0,0,0,0,0,0,0,3,2,-,-
20180425WOLG0,0,1,0,0,0,0,0,0,0,-,-,-
20180426HHHT0,0,0,0,0,0,0,0,0,3,-,-,-
20180426LTKT0,1,0,0,0,0,0,0,0,1,-,-,-
20180426NCSS0,0,0,0,3,0,0,1,0,1,-,-,-
20180426OBSK0,0,0,0,0,0,0,0,4,0,-,-,-
20180426WOLG0,0,0,0,0,0,0,0,1,0,-,-,-
20180427HHLT0,2,0,0,0,0,0,0,1,0,-,-,-
20180427HTKT0,0,1,0,0,0,3,0,4,0,-,-,-
20180427OBNC0,1,0,0,1,0,1,0,2,1,-,-,-
20180427SKWO0,1,1,0,2,2,1,1,0,0,-,-,-
20180427SSLG0,1,0,0,0,0,0,1,0,0,-,-,-
20180428HHLT0,0,2,1,0,1,0,0,0,0,-,-,-
20180428HTKT0,1,0,0,0,0,1,0,0,0,-,-,-
20180428OBNC0,0,0,0,0,0,0,1,0,0,-,-,-
20180428SKWO0,2,1,0,0,0,0,0,0,3,-,-,-
20180428SSLG0,0,0,0,0,2,1,1,0,0,-,-,-
20180429HHLT0,0,0,2,0,0,0,0,1,0,-,-,-
20180429HTKT0,0,0,0,0,0,0,1,2,0,-,-,-
20180429OBNC0,0,3,0,0,2,0,1,0,1,-,-,-
20180429SKWO0,0,1,0,2,0,0,0,1,1,-,-,-
20180429SSLG0,0,0,0,0,2,3,0,0,3,-,-,-
20180501HTLT0,0,0,0,0,0,0,0,0,0,-,-,-
20180501KTOB0,0,0,0,1,0,1,0,0,0,-,-,-
20180501LGHH0,0,0,1,0,0,2,0,1,1,-,-,-
20180501SKSS0,1,5,1,4,0,0,0,1,0,-,-,-
20180501WONC0,0,0,0,0,1,3,0,8,1,-,-,-
20180502HTLT0,1,0,0,4,1,3,1,0,2,-,-,-
20180502LGHH0,0,0,0,0,0,0,3,0,0,-,-,-
20180502SKSS0,0,0,0,3,2,0,0,0,2,-,-,-
20180502WONC0,3,1,0,2,0,1,1,0,0,-,-,-
20180503HTLT0,0,0,0,0,3,0,0,0,1,-,-,-
20180503KTOB0,1,0,0,0,0,0,1,0,0,0,1,-
20180503LGHH0,0,0,0,0,0,3,0,0,0,-,-,-
20180503SKSS0,0,0,0,1,3,0,0,0,0,-,-,-
20180503WONC0,0,0,0,4,1,0,4,3,1,-,-,-
20180504HHSS0,0,2,0,1,0,0,0,2,4,-,-,-
20180504LTSK0,0,2,0,0,1,0,0,0,1,-,-,-
20180504NCHT0,2,0,0,0,1,0,0,0,3,-,-,-
20180504OBLG0,0,4,0,1,0,0,5,0,1,-,-,-
20180504WOKT0,1,3,0,0,4,1,1,0,1,-,-,-
20180505HHSS0,0,0,0,0,0,0,3,0,0,-,-,-
20180505LTSK0,0,0,0,0,0,0,0,1,7,-,-,-
20180505NCHT0,0,0,2,0,0,1,0,1,0,-,-,-
20180505OBLG0,2,0,0,1,0,0,0,0,0,-,-,-
20180505WOKT0,0,2,0,5,0,0,1,1,1,-,-,-
20180506NCHT0,2,0,0,0,0,0,1,0,0,-,-,-
20180506OBLG0,0,2,2,1,4,1,0,3,0,-,-,-
20180508HHWO0,0,2,2,0,0,2,0,0,4,-,-,-
20180508LTLG0,0,0,0,1,0,1,2,0,0,-,-,-
20180508OBHT0,0,0,0,0,0,0,0,0,0,-,-,-
20180508SKNC0,0,0,0,0,0,0,0,0,0,-,-,-
20180508SSKT0,0,4,0,0,0,3,2,0,0,-,-,-
20180509HHWO0,0,2,0,0,0,0,0,2,0,-,-,-
20180509LTLG0,0,0,1,0,0,0,0,1,0,-,-,-
20180509OBHT0,0,0,4,7,0,2,0,0,0,-,-,-
20180509SKNC0,0,2,2,0,0,0,0,2,0,-,-,-
20180509SSKT0,0,0,2,1,0,0,1,0,1,-,-,-
20180510HHWO0,1,0,0,0,1,1,0,0,0,-,-,-
20180510LTLG0,1,2,0,0,0,0,0,4,0,-,-,-
20180510OBHT0,1,0,0,1,0,1,0,1,1,0,0,-
20180510SKNC0,0,0,0,1,4,0,0,1,0,-,-,-
20180510SSKT0,0,0,0,1,1,0,0,1,1,0,0,-
20180511HTSS0,0,0,0,0,0,0,1,0,2,-,-,-
20180511KTLT0,0,0,0,0,0,0,0,0,2,-,-,-
20180511LGSK0,1,1,0,3,3,0,0,6,0,-,-,-
20180511NCHH0,1,0,1,0,0,0,0,0,0,0,2,-
20180511WOOB0,5,0,0,1,1,0,0,0,3,-,-,-
20180513HTSS0,0,0,3,0,2,1,1,1,0,-,-,-
20180513KTLT0,0,0,0,1,0,0,0,0,0,-,-,-
20180513LGSK0,0,0,0,0,0,0,0,0,0,-,-,-
20180513NCHH0,0,0,0,0,0,0,0,0,0,-,-,-
20180513WOOB0,0,0,0,0,0,1,1,0,0,-,-,-
20180515HTWO0,0,0,0,1,0,0,0,0,1,-,-,-
20180515KTHH0,0,0,0,0,1,0,0,0,2,-,-,-
20180515LGSS0,0,0,0,0,0,1,1,0,0,-,-,-
20180515LTNC0,0,1,0,0,0,0,0,0,2,2,-,-
20180515SKOB0,1,0,2,0,0,0,0,0,1,-,-,-
20180516HTWO0,1,0,0,0,0,3,3,0,0,-,-,-
20180516KTHH0,0,0,0,4,0,0,0,0,0,-,-,-
20180516LGSS0,0,0,1,5,1,0,0,0,1,-,-,-
20180516SKOB0,0,2,0,1,0,0,0,0,0,-,-,-
20180517HTWO0,0,1,0,1,0,0,0,0,0,-,-,-
20180517KTHH0,1,0,0,0,0,1,1,0,0,-,-,-
20180517LGSS0,0,1,0,0,0,1,1,0,5,-,-,-
20180517LTNC0,0,0,0,4,0,0,0,3,0,-,-,-
20180518HHLG0,0,0,0,0,2,1,0,0,1,-,-,-
20180518NCKT0,0,4,0,0,1,1,0,0,0,-,-,-
20180518OBLT0,0,3,0,0,0,0,1,0,3,-,-,-
20180518SKHT0,0,0,0,1,0,0,0,0,0,-,-,-
20180518SSWO0,0,0,0,0,2,0,0,2,1,-,-,-
20180519HHLG0,1,0,0,0,1,0,0,0,0,-,-,-
20180519NCKT0,0,0,0,0,0,0,0,1,1,-,-,-
20180519OBLT0,0,0,0,1,0,1,0,0,0,-,-,-
20180519SKHT0,0,1,0,0,0,0,0,0,0,-,-,-
20180519SSWO0,0,0,1,1,1,0,0,0,0,-,-,-
20180520HHLG0,0,1,0,0,0,0,0,1,0,-,-,-
20180520NCKT0,0,1,0,0,1,0,0,0,1,-,-,-
20180520OBLT0,0,0,1,0,0,1,0,0,0,5,-,-
20180520SKHT0,0,0,1,2,0,0,0,0,0,-,-,-
20180520SSWO0,1,0,0,0,0,0,0,3,0,-,-,-
20180522KTHT0,1,0,0,0,3,0,0,0,1,-,-,-
20180522LTSS0,2,0,0,0,0,2,0,0,0,-,-,-
20180522NCLG0,0,0,1,0,0,0,0,0,0,-,-,-
20180522OBHH0,0,1,0,0,0,0,2,4,0,0,0,-
20180522WOSK0,2,1,1,0,0,0,3,2,1,-,-,-
20180523KTHT0,0,0,3,0,0,1,0,0,5,-,-,-
20180523LTSS0,1,0,0,0,3,0,0,0,0,-,-,-
20180523NCLG0,2,0,0,0,0,0,0,0,0,-,-,-
20180523OBHH0,0,1,0,2,0,0,0,0,0,-,-,-
20180523WOSK0,0,0,0,1,0,0,1,0,0,-,-,-
20180524KTHT0,2,0,2,2,6,0,0,0,1,-,-,-
20180524LTSS0,0,0,0,1,0,0,0,1,0,-,-,-
20180524NCLG0,0,0,0,0,0,0,0,0,0,-,-,-
20180524OBHH0,1,0,0,1,0,3,2,0,0,-,-,-
20180524WOSK0,0,1,0,0,0,0,0,0,0,-,-,-
20180525HHSK0,0,0,1,0,0,0,0,0,0,-,-,-
20180525HTNC0,3,0,0,1,7,2,0,0,1,-,-,-
20180525LGKT0,2,1,1,0,0,3,0,0,0,-,-,-
20180525LTWO0,0,1,0,1,0,0,0,0,0,-,-,-
20180525SSOB0,1,0,0,0,0,1,1,3,0,-,-,-
20180526HHSK0,1,0,0,0,0,0,1,0,0,-,-,-
20180526HTNC0,0,0,0,0,0,0,0,0,0,-,-,-
20180526LGKT0,0,1,0,1,2,0,0,1,0,-,-,-
20180526LTWO0,2,0,0,0,0,0,0,0,0,-,-,-
20180526SSOB0,0,0,1,0,0,0,0,0,0,-,-,-
20180527HHSK0,2,0,1,0,0,0,0,1,0,3,-,-
20180527HTNC0,0,2,2,0,1,0,2,2,3,-,-,-
20180527LGKT0,2,0,0,4,0,0,0,0,1,-,-,-
20180527LTWO0,3,0,0,0,0,3,0,0,0,-,-,-
20180527SSOB0,0,0,0,0,0,1,0,1,0,-,-,-
